batch_size,method, score, level, clears, time, mps, cliff_l_e, cliff_h_e, cliff_l_w, cliff_h_w, m_stack_w, m_stack_e, a_stack_w, a_stack_e, stack_d_w, stack_d_e, stack_d_thresh, score_w, go_w
3,yield_to_next,30800,4.333333333,61.66666667,107.2331745,3,0.857149094,3.850292908,-7.79353967,-3.365121864,-9.302680713,3.833306573,-9.247549011,4.052518976,-3.911034147,1.007785067,10.13427247,8.436541712,-5.437462962
3,yield_to_next,35633.33333,5,71,112.4930663,3,3.70219376,1.839311363,-5.872276061,-7.11045869,-8.265729122,4.917270471,-5.828854331,1.29358045,-5.046155538,1.330688875,12.45156878,6.736167069,-5.134994973
3,yield_to_next,46100,5.333333333,85.33333333,121.6729675,3,1.055166975,4.477976585,-7.069825143,-3.543168138,-4.488781789,4.018078788,-4.049939004,0.252459148,-1.623429122,3.077417516,14.97732312,1.478565504,-1.462989216
,,,,,,,,,,,,,,,,,,,
3,greedy,57666.66667,5.666666667,95.66666667,65.37481888,3,4.194401302,3.315787018,-2.452802011,-7.467325006,-1.404763884,3.34570978,-0.901277217,3.894236485,-2.810252561,0.268663976,6.474539929,7.64746322,-4.340388942
3,greedy,71233.33333,6.666666667,115.6666667,88.07249816,3,2.395704897,4.189720865,-3.976243569,-8.814453338,-0.54199786,2.777251773,-3.111739922,0.231289114,-3.257746554,1.449443431,6.827932426,1.309118844,-4.358191947
,,,,,,,,,,,,,,,,,,,
3,yield_to_next,70200,6.666666667,114.3333333,202.6577615,3,4.709316626,1.138913987,-9.639256147,-7.081860546,-0.569347415,0.199929777,-1.375824944,1.915950763,-6.42949424,2.684126765,8.02884219,4.080682858,-7.574696635
3,yield_to_next,59666.66667,6.666666667,111.6666667,191.3160391,3,0.248437518,1.625535201,-7.186937796,-7.392792963,-4.706007088,4.89127752,-8.373621777,1.942909679,-8.574669088,3.218520481,6.08152011,0.052065318,-8.978433673
,,,,,,,,,,,,,,,,,,,
3,yield_to_next,87933.33333,7.333333333,136,230.3351079,3,0.977660417,0.936022782,-7.675855309,-5.018818004,-8.262200477,4.299489749,-6.324382753,4.688948643,-0.334567996,3.840928189,0.771246151,9.428640944,-8.132830912
3,greedy,138133.3333,8.333333333,186.6666667,138.0153282,3,2.014168792,4.439870069,-1.159644487,-2.627364732,-9.384167014,2.64327126,-5.030821864,1.92806929,-5.028089387,3.311659701,12.80843769,0.67131018,-0.237915055
3,greedy,118533.3333,8,172.6666667,132.828908,4,0,0,-10,-10,-10,0,-10,0,-10,0,0,0,-10
3,greedy,0,1,0,5.53798763,4,0,0,-10,-10,-10,0,-10,0,-10,0,0,0,-10
3,greedy,0,1,0,5.007579645,4,0,0,-10,-10,-10,0,-10,0,-10,0,0,0,-10
3,greedy,0,1,0,5.255844831,4,0,0,-10,-10,-10,0,-10,0,-10,0,0,0,-10
3,greedy,0,1,0,2.943430821,4,0.712015992,2.32324586,-4.667431699,-3.354856798,-7.30209505,4.979887966,-9.505207785,4.142808964,-8.095136461,2.802853344,3.996903154,5.289215221,-7.786450925
3,greedy,2600,2.666666667,15,19.33131854,4,1.547659134,0.369030621,-8.499705942,-3.904559968,-5.26233908,3.604134986,-3.367382232,2.306108233,-4.666635034,1.171768677,2.786640023,6.616945381,-4.337558176
3,greedy,8933.333333,3.333333333,30.66666667,30.30369012,4,1.696997289,0.573486494,-8.744980232,-3.934671313,-6.248246963,3.658398792,-3.937930827,2.536949998,-5.148944427,1.321713674,3.14883317,7.292136665,-4.593672874
3,greedy,2033.333333,2.333333333,11.66666667,17.80209255,4,1.971318957,1.056382727,-8.988444478,-4.265904943,-6.441049138,4.039477077,-4.789226746,2.833707264,-5.782676577,1.367798893,4.162636781,8.05689221,-5.092566395
5,greedy,15480,4,44.8,37.84164295,4,2.798149849,4.325633233,-9.220239543,-5.963489876,-9.021508597,4.556648267,-4.449399553,4.184507198,-6.964854033,4.557577132,0.562038066,8.797325769,-8.597238423
5,greedy,9400,3.6,31.8,28.61895194,4,3.360789301,4.451145555,-9.602247098,-7.663413715,-9.233783512,4.773080656,-6.093232737,4.554033617,-7.65160626,5,3.495144286,9.155527589,-8.763287779
5,greedy,14200,3.8,39.4,28.66805267,4,4.330769238,5,-10,-8.29293742,-10,4.907156618,-6.248159926,5,-9.391778276,5,5.310367069,9.657535211,-10
5,greedy,6060,3.2,25,23.26351013,4,4.568386096,5,-10,-9.337408893,-10,4.962540153,-7.719468325,5,-9.966146132,5,7.737045491,10,-10
5,greedy,18840,4.4,51.4,33.45597315,4,4.840026688,5,-10,-9.752681969,-10,5,-7.742309542,5,-10,5,9.873970744,10,-10
5,greedy,10540,3.6,33.4,31.89291997,4,5,5,-10,-10,-10,5,-8.010038878,5,-10,5,12.31210359,10,-10
5,greedy,28740,4.8,63.6,44.71897311,4,5,5,-10,-10,-10,5,-9.299511389,5,-10,5,13.18386654,10,-10
5,greedy,21440,4.6,53.8,36.16866565,4,5,5,-10,-10,-10,5,-10,5,-10,5,13.43925297,10,-10
5,greedy,9800,3.4,31.4,25.56838899,4,5,5,-10,-10,-10,5,-10,5,-10,5,14.19899958,10,-10
5,greedy,11680,3.8,37,29.64239688,4,5,5,-10,-10,-10,5,-10,5,-10,5,15,10,-10
5,greedy,24020,4.4,54,34.20831294,4,5,5,-10,-10,-10,5,-10,5,-10,5,15,10,-10
5,greedy,24380,4.6,59,45.93994961,4,5,5,-10,-10,-10,5,-10,5,-10,5,15,10,-10
5,greedy,11180,3.8,35.6,28.37864904,4,5,5,-10,-10,-10,5,-10,5,-10,5,15,10,-10
5,greedy,15500,4.4,44.8,32.63176484,4,5,5,-10,-10,-10,5,-10,5,-10,5,15,10,-10
